name,rating,genres,summary,image
Kirby Buckets,,['Comedy'],"The single-camera series that mixes live-action and animation stars Jacob Bertrand as the title character. Kirby Buckets introduces viewers to the vivid imagination of charismatic 13-year-old Kirby Buckets, who dreams of becoming a famous animator like his idol, Mac MacCallister. With his two best friends, Fish and Eli, by his side, Kirby navigates his eccentric town of Forest Hills where the trio usually find themselves trying to get out of a predicament before Kirby's sister, Dawn, and her best friend, Belinda, catch them. Along the way, Kirby is joined by his animated characters, each with their own vibrant personality that only he and viewers can see.",http://static.tvmaze.com/uploads/images/medium_portrait/1/4600.jpg
Downton Abbey,9.1,"['Drama', 'Family', 'Romance']","The Downton Abbey estate stands a splendid example of confidence and mettle, its family enduring for generations and its staff a well-oiled machine of propriety. But change is afoot at Downton--change far surpassing the new electric lights and telephone. A crisis of inheritance threatens to displace the resident Crawley family, in spite of the best efforts of the noble and compassionate Earl, Robert Crawley; his American heiress wife, Cora his comically implacable, opinionated mother, Violet and his beautiful, eldest daughter, Mary, intent on charting her own course. Reluctantly, the family is forced to welcome its heir apparent, the self-made and proudly modern Matthew Crawley himself none too happy about the new arrangements. As Matthew's bristly relationship with Mary begins to crackle with electricity, hope for the future of Downton's dynasty takes shape. But when petty jealousies and ambitions grow among the family and the staff, scheming and secrets--both delicious and dangerous--threaten to derail the scramble to preserve Downton Abbey. Downton Abbey offers a spot-on portrait of a vanishing way of life.",http://static.tvmaze.com/uploads/images/medium_portrait/1/4601.jpg
Girl Meets World,7.8,"['Drama', 'Comedy', 'Family']","Girl Meets World is based on ABC's hugely popular sitcom, Boy Meets World (1993). Set in New York City, the show tells the wonderfully funny heartfelt stories that Boy Meets World is renowned for - only this time from a tween girl's perspective - as the curious and bright 7th grader Riley Matthews and her quick-witted friend Maya Fox embark on an unforgettable middle school experience. But their plans for a carefree year will be adjusted slightly under the watchful eyes of Riley's parents - dad Cory, who's also a faculty member (and their new History teacher), and mom Topanga, who owns a trendy after school hangout that specializes in pudding.",http://static.tvmaze.com/uploads/images/medium_portrait/50/126868.jpg
Hell's Kitchen,7.6,['Food'],"In Hell's Kitchen, aspiring chefs are put through an intense culinary academy to prove they possess the right combination of ingredients to win a life-changing grand prize.",http://static.tvmaze.com/uploads/images/medium_portrait/182/456854.jpg
World Series of Poker,9,[],The World Series of Poker is where the world's best poker players battle for the title.,http://static.tvmaze.com/uploads/images/medium_portrait/1/4656.jpg
Anthony Bourdain: Parts Unknown,8.1,"['Food', 'Travel']",Anthony Bourdain: Parts Unknown has chef Anthony Bourdain traveling to extraordinary locations around the globe to sample a variety of local cuisines.,http://static.tvmaze.com/uploads/images/medium_portrait/1/4660.jpg
Comic Book Men,8.6,['Comedy'],"AMC's popular unscripted series Comic Book Men takes another dive into world of geekdom by following the antics in and around master fanboy Kevin Smith's New Jersey comic shop, Jay and Silent Bob's Secret Stash. Leading the team behind the shop's counter are Walt, Bryan, Michael and Ming, who geek out over mind-blowing pop culture artifacts and the legends behind them. Whether it's buying and selling memorabilia or embarking on wild adventures away from the store, the Stash cast shares all the juicy details with Kevin during their hilarious podcast, which is woven in throughout the series.",http://static.tvmaze.com/uploads/images/medium_portrait/1/4661.jpg
Key & Peele,7.5,['Comedy'],"Keegan-Michael Key and Jordan Peele are the stars of Key &amp; Peele, a show that examines life in a distinctively provocative and irreverent way. Whether it's anger-translating the president, spoofing Nazis or ordering up some soul food, Key &amp; Peele showcases the guys' camaraderie and unique point of view, born from their experiences growing up biracial in a not-quite-post-racial world.",http://static.tvmaze.com/uploads/images/medium_portrait/1/4662.jpg
Glue,8.4,['Drama'],Bafta-winning writer Jack Thorne's compelling eight-part drama series about murder and secrets set in the English countryside.,http://static.tvmaze.com/uploads/images/medium_portrait/118/295401.jpg
Southern Justice,,['Crime'],"Follow the Sheriff Deputies of Sullivan County, TN and Ashe County, NC as they work to keep the peace in the Blue Ridge Mountains on Southern Justice. Get an unprecedented look into crime in Appalachia, where guns, drugs and alcohol challenge lawmen 24/7.",http://static.tvmaze.com/uploads/images/medium_portrait/1/4675.jpg
Tosh.0,6,['Comedy'],"Tosh.0 is a weekly topical series that delves into all aspects of the Internet, featuring razor sharp humor and biting commentary from comedian Daniel Tosh. From the absolutely absurd to the incredibly ingenious, the series features viral clips, sketches, and ""Web Redemptions"" which give subjects of infamous viral videos a second chance to redeem themselves from the embarrassment with which they've become synonymous. Now in its third hit season, Tosh.0 continues to be cable TV's most trusted source for exhibitionist weirdos, injurious idiots and all things Web.",http://static.tvmaze.com/uploads/images/medium_portrait/1/4676.jpg
The Soup,,['Comedy'],"The Soup reigns in the week's wildest and most memorable moments in the world of television with hilarious commentary, outrageous clips and surprise celebrity guests.",http://static.tvmaze.com/uploads/images/medium_portrait/235/587894.jpg
The Driver,7.6,"['Drama', 'Crime']",Vince McKee's life is turned upside down when he agrees to be the driver for a criminal gang.,http://static.tvmaze.com/uploads/images/medium_portrait/1/4681.jpg
Last Week Tonight with John Oliver,8.7,['Comedy'],"On Last Week Tonight with John Oliver, John Oliver presents a satirical look at the week in news, politics and current events.",http://static.tvmaze.com/uploads/images/medium_portrait/241/603444.jpg
The Late Show with David Letterman,8.5,['Comedy'],"A mix of comedy and talk show, including alot of celebrity guests and musical performances.",http://static.tvmaze.com/uploads/images/medium_portrait/1/4702.jpg
Mount Pleasant,,"['Drama', 'Comedy']","A who's who of British talent, from Sally Lindsay to the legendary Bobby Ball, take up residence in a homegrown comedy drama that's honest, relatable and big on laughs.",http://static.tvmaze.com/uploads/images/medium_portrait/1/4706.jpg
Lovesick,7.9,"['Comedy', 'Romance']","An infectious comedy series following the disastrous exploits of 20-something romantic Dylan, who plans to use his STI diagnosis as a positive journey of self discovery.",http://static.tvmaze.com/uploads/images/medium_portrait/143/359769.jpg
Package Deal,6,['Comedy'],"When Kim starts dating Danny he seems too good to be true – a successful lawyer, charming, and single. Then, she discovers he's already committed – to his two older brothers, Sheldon and Ryan Will Danny ever grow up and be his own man? Or will Kim have to accept that his brothers are part of a ""package deal""?",http://static.tvmaze.com/uploads/images/medium_portrait/1/4708.jpg
Peaky Blinders,8.9,"['Drama', 'Crime', 'History']",An epic gangster drama set in the lawless streets of 1920s Birmingham.,http://static.tvmaze.com/uploads/images/medium_portrait/48/122213.jpg
The League,7.6,"['Comedy', 'Sports']","The League follows Kevin, a happily married father and commissioner of the fantasy football league; Jenny, Kevin's wife and his better half - especially when it comes to fantasy football; Pete, the perennial league champ who is struggling to become an adult; Taco, Kevin's little brother, a part-time musician and full-time stoner with little interest in fantasy other than hanging with his buddies; Ruxin, who believes he is the smartest of the group but can't figure out how exactly the other guys are screwing him over; and Andre, the punching bag of the group since their high school days - a fact that hasn't changed despite the fact he is now a successful plastic surgeon.",http://static.tvmaze.com/uploads/images/medium_portrait/1/4720.jpg
Saving Hope,8,"['Drama', 'Fantasy', 'Medical']","When Hope Zion Hospital's Chief of Surgery, Charlie Harris ends up in a coma, he finds himself wandering the halls in spirit form. Stuck between worlds, he watches as his fiancée and the staff of the hospital fight to keep patients - and hope - alive.",http://static.tvmaze.com/uploads/images/medium_portrait/91/229823.jpg
Talking Dead,7.1,[],"A live after show about Fear/The Walking Dead, hosted by Chris Hardwick. Talking Dead features Hardwick spending time with fans, actors, producers and TV enthusiasts, recapping the most recent Fear/The Walking Dead episodes and taking questions and comments from viewers.",http://static.tvmaze.com/uploads/images/medium_portrait/169/424141.jpg
Black Dynamite,,"['Comedy', 'Action']","Dynamite is a 1970s renaissance man with a kung-fu grip. A lover and a fighter who is not afraid to leap before he looks. His sidekick extraordinaire is Bullhorn, the brains and cunning that complements Black Dynamite's hard-hittin', bone-crushin' style. Providing comic relief on the mean streets is Cream Corn and classing up the place is the gorgeous Honey Bee.",http://static.tvmaze.com/uploads/images/medium_portrait/1/4742.jpg
Bad Education,7.5,['Comedy'],Comedy series about a teacher who is a bigger kid than the kids he teaches.,http://static.tvmaze.com/uploads/images/medium_portrait/202/506068.jpg
